index,profit,number of trade,Average Gain,SD,Maximum Gain in One Trade,Maximum Loss in One Trade
"(59, 237)",10623.12891,8,1327.891113,841.9451683,2233.111328,-340.359375
"(59, 238)",10423.54883,8,1302.943604,817.3508022,2220.599609,-340.359375
"(58, 239)",10390.5,8,1298.8125,844.1343101,2233.111328,-340.359375
"(59, 236)",10390.5,8,1298.8125,844.1343101,2233.111328,-340.359375
"(58, 238)",10283.44922,8,1285.431152,833.1475935,2233.111328,-340.359375
"(59, 235)",10283.44922,8,1285.431152,833.1475935,2233.111328,-340.359375
"(57, 246)",10175.10938,8,1271.888672,746.6086528,2034.210937,-340.359375
"(57, 247)",10175.10938,8,1271.888672,746.6086528,2034.210937,-340.359375
"(58, 244)",10175.10938,8,1271.888672,746.6086528,2034.210937,-340.359375
"(56, 247)",10143.96094,8,1267.995117,745.1182196,2034.210937,-340.359375
"(56, 248)",10115.89063,8,1264.486328,743.4309731,2034.210937,-340.359375
"(56, 249)",10115.89063,8,1264.486328,743.4309731,2034.210937,-340.359375
"(59, 230)",10040.63867,8,1255.079834,933.458869,2233.111328,-742.320313
"(59, 231)",10040.63867,8,1255.079834,933.458869,2233.111328,-742.320313
"(59, 232)",10040.63867,8,1255.079834,933.458869,2233.111328,-742.320313
"(59, 233)",10040.63867,8,1255.079834,933.458869,2233.111328,-742.320313
"(59, 229)",10031.11914,8,1253.889893,928.1951967,2233.111328,-742.320313
"(59, 234)",10007.82812,8,1250.978516,907.0166341,2233.111328,-638.560547
"(57, 248)",10002.53125,8,1250.316406,742.0030341,2034.210937,-340.359375
"(57, 249)",10002.53125,8,1250.316406,742.0030341,2034.210937,-340.359375
"(57, 236)",9981.419922,8,1247.67749,930.785551,2233.111328,-742.320313
"(58, 233)",9981.419922,8,1247.67749,930.785551,2233.111328,-742.320313
"(58, 234)",9981.419922,8,1247.67749,930.785551,2233.111328,-742.320313
"(59, 240)",9952.007814,8,1244.000977,758.8990191,2034.210937,-340.359375
"(57, 243)",9911.898438,8,1238.987305,765.8129942,2034.210937,-340.359375
"(57, 244)",9911.898438,8,1238.987305,765.8129942,2034.210937,-340.359375
"(57, 245)",9883.828126,8,1235.478516,764.0382373,2034.210937,-340.359375
"(58, 242)",9883.828126,8,1235.478516,764.0382373,2034.210937,-340.359375
"(58, 243)",9883.828126,8,1235.478516,764.0382373,2034.210937,-340.359375
"(58, 236)",9881.488281,8,1235.186035,935.512152,2233.111328,-742.320313
"(58, 237)",9881.488281,8,1235.186035,935.512152,2233.111328,-742.320313
"(58, 235)",9844.849609,8,1230.606201,931.4691594,2233.111328,-742.320313
"(58, 240)",9841.119141,8,1230.139893,756.0075866,2034.210937,-340.359375
"(56, 240)",9822.269531,8,1227.783691,932.6868428,2233.111328,-742.320313
"(56, 241)",9822.269531,8,1227.783691,932.6868428,2233.111328,-742.320313
"(57, 237)",9822.269531,8,1227.783691,932.6868428,2233.111328,-742.320313
"(57, 238)",9822.269531,8,1227.783691,932.6868428,2233.111328,-742.320313
"(57, 239)",9822.269531,8,1227.783691,932.6868428,2233.111328,-742.320313
"(57, 240)",9822.269531,8,1227.783691,932.6868428,2233.111328,-742.320313
"(59, 239)",9813.048829,8,1226.631104,754.168595,2034.210937,-340.359375
"(58, 241)",9771.798828,8,1221.474853,761.0872378,2034.210937,-340.359375
"(56, 246)",9748.919922,8,1218.61499,789.4309748,2034.210937,-444.119141
"(57, 221)",8367.83008,7,1195.404297,858.3959816,2012.320313,-669.488281
"(57, 222)",8367.83008,7,1195.404297,858.3959816,2012.320313,-669.488281
"(57, 223)",8367.83008,7,1195.404297,858.3959816,2012.320313,-669.488281
"(58, 219)",8367.83008,7,1195.404297,858.3959816,2012.320313,-669.488281
"(58, 217)",8293.890626,7,1184.841518,848.6785541,1938.380859,-669.488281
"(58, 218)",8293.890626,7,1184.841518,848.6785541,1938.380859,-669.488281
"(58, 232)",9475.371094,8,1184.421387,1070.574658,2233.111328,-1248.369141
"(59, 216)",8265.478518,7,1180.782645,853.8362034,2012.320313,-669.488281
"(57, 235)",9367.750001,8,1170.96875,1101.295513,2233.111328,-1355.990234
"(58, 231)",9367.750001,8,1170.96875,1101.295513,2233.111328,-1355.990234
"(59, 215)",8191.539064,7,1170.219866,843.8832849,1938.380859,-669.488281
"(55, 249)",10527.85156,9,1169.761285,727.3961567,2034.210937,-444.119141
"(59, 214)",8173.578127,7,1167.654018,841.7389604,1938.380859,-669.488281
"(57, 234)",9340.560548,8,1167.570068,1109.102936,2233.111328,-1383.179687
"(58, 230)",9339.08008,8,1167.38501,1103.148361,2233.111328,-1383.179687
"(56, 239)",9289.03125,8,1161.128906,1078.720764,2233.111328,-1275.558594
"(57, 242)",9269.140624,8,1158.642578,767.9637605,2033.53125,-444.119141
"(59, 223)",8108.919924,7,1158.417132,1088.440589,2127.320313,-1264.439453
"(58, 245)",9263.470703,8,1157.933838,850.6748349,2034.210937,-846.238282
"(58, 246)",9263.470703,8,1157.933838,850.6748349,2034.210937,-846.238282
"(59, 243)",9263.470703,8,1157.933838,850.6748349,2034.210937,-846.238282
"(56, 242)",9239.839843,8,1154.97998,873.1815635,2233.111328,-742.320313
"(59, 224)",8073.021486,7,1153.288784,1086.873084,2127.320313,-1264.439453
"(59, 244)",9201.458985,8,1150.182373,868.9872325,2034.210937,-908.25
"(59, 228)",9134.591797,8,1141.823975,1100.253086,2233.111328,-1355.990234
"(56, 244)",9111.039062,8,1138.879883,849.4439095,2033.53125,-742.320313
"(56, 245)",9111.039062,8,1138.879883,849.4439095,2033.53125,-742.320313
"(58, 247)",9090.892578,8,1136.361572,843.7269517,2034.210937,-846.238282
"(57, 241)",9040.259765,8,1130.032471,844.3987837,2033.53125,-742.320313
"(58, 216)",7906.738282,7,1129.53404,933.6868363,1938.380859,-954.289063
"(58, 248)",9028.88086,8,1128.610107,861.9929647,2034.210937,-908.25
"(58, 249)",9028.88086,8,1128.610107,861.9929647,2034.210937,-908.25
"(59, 245)",9028.88086,8,1128.610107,861.9929647,2034.210937,-908.25
"(57, 225)",7890.699221,7,1127.242746,1056.877856,2127.320313,-1249.039062
"(57, 226)",7890.699221,7,1127.242746,1056.877856,2127.320313,-1249.039062
"(59, 212)",7888.777345,7,1126.968192,931.6371611,1938.380859,-954.289063
"(59, 213)",7888.777345,7,1126.968192,931.6371611,1938.380859,-954.289063
"(59, 227)",8987.312502,8,1123.414063,1084.697887,2233.111328,-1355.990234
"(59, 241)",8972.189453,8,1121.523682,861.2081024,2034.210937,-846.238282
"(59, 242)",8972.189453,8,1121.523682,861.2081024,2034.210937,-846.238282
"(56, 243)",8972.080077,8,1121.51001,847.8643681,2033.53125,-742.320313
"(59, 226)",8960.123049,8,1120.015381,1092.475983,2233.111328,-1383.179687
"(56, 227)",8957.900393,8,1119.737549,811.0801271,2127.320313,-669.488281
